,内容id,标题,发布时间,视频下载链接,asr,sn
10,VT00FUIQFM0I91V,New Cupra Formentor 2021款 - 后排配有中央扶手,2021-06-25T15:12:08,https://video-nos.yiyouliao.com/icvt-shd-20210625-66d40502c24855582aa466d27b825194.mp4,爱，以为你空年的份，温柔的的风飞。,642b225b-e0c9-4f74-be79-2f061b9a486b_zh
11,VT00M7PLMI61T10,Pvz2流言终结者 被泡泡糖粘住的僵尸会被感化吗？,2021-06-25T15:14:06,https://video-nos.yiyouliao.com/icvt-shd-20210626-8f68745dc48d667a990fa57b6fc51ceb.mp4,随着新植物阳光鼠味草的出现，各位的提问再度踊跃起来，大家好，是小撒，本期视频咱们接着来看留言终结者这次又会是哪些问题呢？一，时间浮控巨人能用三叶草吹飞吗？可以清楚地看到，浮控的巨人不会被吹走，而浮空的小鬼被吹走了。二，被水星花吹掉防地的僵尸还能和龙色男起作用吗？所有僵尸房具都没了。,3170f996-c8e7-4fd7-a82c-339698db84d0_zh
12,VT00M4PPI7VSBWX,New Cupra Formentor 2021款 - 内饰采用黑化风格,2021-06-25T15:14:09,https://video-nos.yiyouliao.com/icvt-shd-20210625-2cbb70307c1d47ccd0f8ba4abea1ee75.mp4,愿我来到故的你们马飞斯的西麻巴克来那空斯莫能的啊。,cbea6230-91fb-44c8-a8d6-1da203531e30_zh
13,VT00FUIP87C11L9,坦克300×春风800MT联名车型曝光！造型霸气，外观采用双色车漆！,2021-06-25T15:14:19,https://video-nos.yiyouliao.com/icvtd-shd-20210625-b44862d0331bdd4a458243fb0fe66916.mp4,近日，击白军从相关渠道获取了一组坦克三百与春风八百mt联名款车型的实车图片。新车外观采用了军率加营的双色雅光图漆称声，侧面带有n三十九度坦克三百成八百mt字样的拉花，与其搭配的是位于北纬三十九度的塔克拉玛干沙漠的轮廓，体现其对于神秘北纬三十九度地区的好奇以及征服沙漠的野心。新车在普通版坦克三百的基础上增加了固定脚踏行李架，直通车顶的爬梯，帐篷，遮阳伞等诸多配置。,577a498a-22ec-41f6-9ba9-9444ff9311a3_zh
14,VI01AC1NEL95BUI,正阳门下：小贩瞧不起房产老总，好看了,2021-06-25T15:14:39,https://video-nos.yiyouliao.com/icvt-shd-20210625-43489ba3916641563a88614e267bbedb.mp4,长长眼知道不唉不行不行唉这要是打了眼这这丢人打来不能不能太行了来哥几个好好看看啊冯老这你们来您权威啊那老了。,80e7117d-a6cc-4edd-aa33-799c6521f343_zh
15,VI00MBWOYXGGTIU,火针的温度高达1200度，患者受得了吗？火针擅长治疗哪些疾病？,2021-06-25T15:14:44,https://video-nos.yiyouliao.com/icvt-shd-20210627-e0fbcd6e9eb7a69cde39f95694b5c695.mp4,我们这种蒸烧的温度是非常高的，因为它现在我们是种酒精灯的外焰外眼的话，它最高的温度能度达到六千摄氏度，而且蒸烧红以后基本上在一千二百度左右，所以对于特别对于这个烧针的话，我们吃素者要求更严格。您刚说到这个针烧完以后达到一千二百度，这什么样的一个概念？就是我们平时可能觉得这个水滴在手背上温温的发点烫，可能就是这个六十度就已经觉得就是有点不适了，然后五六十度可能就接受不了了，然后您一千二百度的针扎进去。,2ee4e2d5-bbcd-473f-9d70-660c7e63ee6c_zh
16,VI01AFGUS4EAUKJ,直道相思了无益，未妨惆怅是清狂,2021-06-25T15:15:21,https://video-nos.yiyouliao.com/icvt-hd-20210626-a41077b712dec0d6f271e46583a2bc08.mp4,我们只陪惋惜从几刻即说的不起红花了里明天还能不能和现在已熟悉从开偏起白下不提照的你那一来的底气从你刻技说对不起黄花迷而已一把再也遮不出去不为的雨再纠缠泪什么你让我消寻你气。,34f0dd2a-f7c5-47ef-884b-0c4f02dd7116_zh
17,VI01AI12ZDONPQ6,2021年第47期日本名人战预选赛，三浦太郎VS上野愛咲美，白中盘胜,2021-06-25T15:15:22,https://video-nos.yiyouliao.com/icvt-shd-20210626-7a26d20238794e13876cd509f1de7bcc.mp4,大家好，我叫哈里路亚史妙，欢迎收看我的视频，请大家关注获订阅我的频道，谢谢你们我。,94836e7c-31b2-49b2-9f9f-5dd133e7f2e1_zh
18,VI00FXV3FFF994L,“第一时间想到911”，美国公寓楼轰然垮塌，目击者回忆恐怖场景,2021-06-25T15:16:23,https://video-nos.yiyouliao.com/icvt-hd-20210626-7c47784390d3fc44740201621d0f3d7f.mp4,啊我们的斯八再天一个盲烟去官啊我的眼密之手跟麦个拉的样就是要调动给说你对那就第那种情的什关系你来我秘密的那份车全人检充啊。,24e4b885-b718-452e-9453-a3ada72b07e1_zh
19,VI00FWWISQKEU0F,哇！北流居然也有“有沙滩、有海边的公园”！快去打卡,2021-06-25T15:16:23,https://video-nos.yiyouliao.com/icvt-shd-20210626-e046390b2e7bdadc4d3ddec02ebd6b6a.mp4,下一年有超们花千几个好说们滴提刚的发呀我要被长了统中被看呀，一副一丝的老兽。,638036b6-c566-4de6-9cf2-15674c1744e4_zh
20,VI01AL64OIMBB5W,实拍香港街头的街景，真美啊,2021-06-25T15:18:58,https://video-nos.yiyouliao.com/icvtd-hd-20210627-7abde5d84858e5b16871a3b4225b3603.mp4,上楼眉梦起楼尘漏了与风霜，风盛火面光红场冷眉梦要给朵荒。早起起梦望总上漠漏吹人梦梦一样伤心眉梦雨一落。,f14187c5-06e0-46ce-acb7-8b82d5680019_zh
21,VI00FVMSN9AEEGL,疫情期间身价暴涨！澳大利亚人均财富创新高！,2021-06-25T15:19:41,https://video-nos.yiyouliao.com/icvt-shd-20210625-680c871100a94fdfadeac245878db693.mp4,疫情期间身价暴涨，澳大利亚人到了最富有的时刻海沃是埃利这里是京扰财一分钟了解财经热点尽管受到疫情影响，澳洲经历了近三十年来的首次经济衰退，但是最新的澳大利亚统计局数据显示，今年第一季度澳洲家庭财富总额增长超过五千亿要元，推动人均财富达到了四十九十二万澳元，创下历史新高，而且财富的增速也是要远高于疫情之前，这就意味着说澳洲人比以往任何时候都更加富有了，甚至每十个澳洲成年人之中就有一位百万富翁。而澳洲家庭财富上涨的主要原因呢，就是住宅价格的推动。,b4f034cd-efdc-482e-a0d5-551a0a49730b_zh
22,VT01ABZI2KN7WAT,新宝骏KiWi EV内饰官图公布，时尚潮流还实用,2021-06-25T15:20:00,https://video-nos.yiyouliao.com/icvt-hd-20210625-14c4a23957a04dfbdb3419e736b27c83.mp4,日前，新宝骏正式公布了tv一v的内饰官图，新车预计将于今年三季度正式上市。从途中可以看出，新车内饰采用连贯一体式的设计风格，控制台从主驾驶贯穿至副驾驶位，并且中间并没有搭载中控屏。新车大量采用了道谷接秆植物纤维可降解绿色环保材料，并提供了深浅两种配色方案。新车还融入方正的设计理念，门把上车窗调节区域以及下方的储物盒的造型设计都是方方正正，t为依偎，将采用四座布局。,c57bd8e8-98b7-426f-a7bd-12d4741dcb70_zh
23,VI00M8ZJG7RTZQD,猫冬：林家正吃饭呢，母大凤赶紧过来，把于三通给举报了,2021-06-25T15:21:02,https://video-nos.yiyouliao.com/icvt-shd-20210626-425a9fa9622a751bc27a305da501997f.mp4,爷爷，这么一桌子丰盛的晚餐，我都有点不好意思了，有啥不好意思呢？静静啊，你是第一次端我们家饭碗，爷爷高兴。那个，再说了，你们老田家和我们老林家呢，也算几代世交了。那个，想当年呢，你爷爷挑的担子来到丰年村，哪还是我爹把他留下来的呢？你看看啊，现在你呢，有伙大孙的搞对象呢？爷爷稀里高兴。,57db70be-fa92-455a-af52-6c1cfd3040aa_zh
24,VI00M73BMEWUNI1,【6.25小巴侃股】现在最重要的问题是选对赛道！,2021-06-25T15:21:12,https://video-nos.yiyouliao.com/icvt-hd-20210626-6921ae59aa3d1d30fa11d7f3627f82d7.mp4,小八坎股腰包鼓鼓今天是六月二十五日星期五，今天咱们a股再度全线上涨，各大指数涨幅还比较大呢，创业板指都涨超过两个点了，但是今天有一些朋友会说，这个创业板指今天涨幅最大，但是它的个股却跌的明显比涨得还多，而且今天这个上涨还没有成交量，那后是创业板指是不是要回调一下呢？我个人觉得咱们这个大盘现在趋势已经启动了，走得非常漂亮，我们不要把技术分析看得那么细，短线的一些行情。,65c1c3a4-aa03-4edc-9edf-95f9873c4c96_zh
25,VT00FXE135ZQ09W,人物故事|3打5，零运动战得分！不可思议的方式终结84连败！,2021-06-25T15:21:48,https://video-nos.yiyouliao.com/icvt-shd-20210626-5f151471ca0b829382b86ebe2837a43a.mp4,这是一场不可思议的篮球胜利，比赛发生在二零一四年十二月九日，来自明离苏达的骑士队以六十二比五十八战胜了巴格利高中，取得了球队四年以来的首场胜利。其实高中女子篮球队取得了其他球队所未有过的成就，他们连续输了八十四场比赛，而且每一场比赛都是惨赛，这支球队成了大家口中的笑话。尽管球队经历了长达四年的联半，但教你练乔纳时握那时依然保持乐观，我们以三比。,7ee66a77-a3fe-4930-9fa8-37d74adf9a0c_zh
26,VI00FYWAXIS2N01,吉他指弹--《歌唱祖国》,2021-06-25T15:22:47,https://video-nos.yiyouliao.com/icvtd-hd-20210626-414145fa5c74b0d12c4ae6d135b09e32.mp4,啊,2c684545-b99b-4724-a4e5-9177f469dadf_zh
27,VI00M6VJPW2MCEQ,2名工人管道作业出意外，消防接力救出被困者,2021-06-25T15:25:49,https://video-nos.yiyouliao.com/icvt-shd-20210626-75ff7b222cf23a757c3ed825c7763cf2.mp4,大热天里施工作业指定是非常地辛苦，但是安全这根小儿还是不能松一点点的。在铁岭一处工地，有两名工人在管道里面就发生了意外。今年六月十一号晚上五点三十分，铁岭市消防救援支队接到报警，当地一处施工现场有两名工人在管道作业时昏迷在了管道当中。消防救援人员随后赶到了现场并展开了救援。此时管道内的两名被困人员均处于半昏迷状态，救援人员立即对管道输入氧气，很快就将第一名被困人员救了。,bfd45ac7-2a81-4889-981f-b82d68ac0e1b_zh
28,VI00M6VJLY0E8GF,蹭新冠疫苗热度诈骗，3名外地嫌疑人落网,2021-06-25T15:25:57,https://video-nos.yiyouliao.com/icvt-shd-20210626-8aaa7e51173d976cc7bcdd7865908d88.mp4,为了战胜疫球，大家伙伸出了左膀右臂，共筑铜墙铁壁。可是也有人在这时候动起了歪脑筋，冒充老师骗取家长收疫苗注射费用。今年年初，在大连市开发区公安分局辖区里，多个派出所接到学生家长报案，称在某高中家长群里被收取了新官疫苗注射费。对称家长在区里收到了这个老师关于注射新冠疫苗的通知，然后要求每名学生是缴纳这个注射费是三百五十元，同时在群里头有一个收款的二维码学生家长。,55713445-e7cf-465c-8f67-8549495c034d_zh
29,VI01AELA8CHKOIK,女子嫁给多情的丈夫，哪料邻居提醒她：你是他第99个女人了！,2021-06-25T15:26:19,https://video-nos.yiyouliao.com/icvt-shd-20210626-46f3055c619dc1fa962322f9d0e3ef38.mp4,夫妻俩这些年租住在一间大概二十平米的房子里，家里摆设相当凌乱，看上去显得有些杂乱不堪。就在此时，一国强抱怨自己没衣服穿，而刘爱萍一语就说破了缘由，他说一国强的衣服全拿到黄汇群的住出去了，电视很简单对，但我们当里住的地方如果没有，为什么要带酸？而之前黄慧群一口回绝的态度，似乎也让人有了更多联想。事到如今，夫妻双方又能否摒弃前嫌，重归于好呢？因为家里前里我实思在我八九死了，我们是移民，已在那里面，我们送好三区的山区，对，我们是已经在好州水口房那里。,fb525945-ae39-4283-a5da-67ed65b53a11_zh
30,VI01AFO3I2F3Y25,十大税务知识，你了解多少？,2021-06-25T15:26:37,https://video-nos.yiyouliao.com/icvtd-shd-20210626-6236e7fac15bf7bd1780728b309816be.mp4,十个税务知事老板财务必须要懂有了生意要申报，没有生意也要报有的老板认为公司有生意时要填报申报表，而没有生意或是不达起征点就无需申报了，其实不然，对于税务机关来说，那是申报的作用不仅在于落实企业应缴纳的税款，还在于税务机关了解纳税人的经济活动情况，掌握和分析税员的变化情况。如企业不申报，依照征管法，税务机关可对企业除以一万元以下的罚款。预收款将要交税，是否发货是关键是不是只要有预收收入就需要交税？答案是否定的。因为根据增值税细则的有关规定，采取预收货款方式销售货物，纳税义务的发生时间为货物发出的当天，提前开庭发票。,e6427672-22df-4433-8933-9461ab6ce1ea_zh
31,VI00FZ0D7O9P488,小区里小哥正在休息，看见东北小伙后，直接就跑，跑的比汽车都快,2021-06-25T15:27:22,https://video-nos.yiyouliao.com/icvt-shd-20210626-bfcfc6a8a02e834645900901cd339762.mp4,是咱这小区里有一个扎小辫的男的，就是从头上试图掉下来拽死吧金奇就是晒怪系挺多住一点就是那啥挺多那业子我看着他吧，现在太下来了，这个行行，我先不跟你说了，我在下边不太好咱那小区里有一个扎小辫的男的，就是冲哥掉拽子了，挺挪的业子看到他。,24ab86d4-615d-48eb-aa9d-5cdcded40094_zh
32,VI00FUQYM516U8M,比低音炮赵鹏还好听的《Your Man》你的男人，喜欢这惊艳的嗓音吗,2021-06-25T15:28:07,https://video-nos.yiyouliao.com/icvt-shd-20210625-77fdf9343dc5dd4932b49bb8cd948a16.mp4,贝贝拉人唱诺曾与最高的骚分手被贝微应盖诺贝去爱比我的跟巴的扫累了啊。,c2df3e82-bb03-471c-992f-3a98629dc3a1_zh
33,VT00FUV9RXJ27WQ,大脚怪兽,2021-06-25T15:30:06,https://video-nos.yiyouliao.com/icvt-shd-20210625-4302d0486e6d6df6341fdc192010f3c1.mp4,嗯哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒哒。,10b93934-fbea-41be-8bb7-8cb66c2f9e11_zh
34,VI00M8N0LNJAIUP,拳皇97：红名玩家赛前说稳吃克总，克总回复两个终极阿根廷送给你,2021-06-25T15:31:06,https://video-nos.yiyouliao.com/icvt-shd-20210626-d9fb29973344f9900c52b2ffc447a64a.mp4,哈喽大家好，我是小伙，今天给大家带来一个克拉克的擂台赛，然后一个红名叫做救会封印来挑战课种，直接被犀皮取消，然后来了一波旋传摇篮压起身，弗兰肯皮萨头在烈火散光主夸夸闸再加那神勒，这招他用战役是抢不到的，这招就类似于一个头，而且判定挺高，这时候神乐残血疯狂地注词打两段萨拉克两次影跳跳位，这一个钱币虽然被神乐房主起身在注词科长看到雪良手一个下曦跟他批决这张神乐直接被带走，其实克拉克如果进攻起来。,5e43c7e1-c30a-4185-9f84-68c235f116d9_zh
35,VI01AC58H71EL2W,高明部分禾田水浸 各镇街组织紧急抽排,2021-06-25T15:31:29,https://video-nos.yiyouliao.com/icvt-shd-20210625-2969acc305ec1200cf83ba09835b71cf.mp4,连日大雨也导致高明部分农田出现了内涝，各镇街和种植户正在紧急抽牌，以免影响水稻抽穗。洋花这两天，高明河成平江村大更加刘建青的水泵日夜没有停过，他说，这片河田前期生长得非常的粗壮，丰收在旺亚拉钩海头案了那水切过亚安公半连续两三天的大雨，河冲水出现了倒灌。刘建清说，这个时候是水稻后生长阶段的关键期，如果水进的时间过长，就会严重影响产量，可以搞一外。,2f8f1b04-a43c-4620-82c4-30866b364abf_zh
36,VI00MGC6QTAEY7W,母亲哭诉十多年未见孙儿，儿子抱怨要面子丨复合天使,2021-06-25T15:31:48,https://video-nos.yiyouliao.com/icvt-shd-20210628-669f1efc42ccf078bc978c22c5c7fe4c.mp4,那你拿上花人，你拿照，拿着照片干吗？谁的照片？我拿的照片就是你的，为什么？你拿我照片干嘛？我就给这个你，那个你媳妇，那个表妹我给他，叫她交给我那个孙女儿，是吧？我也是唯一了一这么一个记忆人也是你的，给走了我就不叫得招大，以后别忘了你这个爸爸，我也是很小，她这四五年我也没见她，我也很小，我有我的死哭出，所以看见你离完婚之后就跟女儿再也没有见过了嘛。,8c313cb1-2613-4d1f-9780-221df0f5708d_zh
37,VI00M73I95NHAOQ,儿子出院后，妈妈怕他复发生三胎留下脐带血，结果怕什么来什么,2021-06-25T15:32:58,https://video-nos.yiyouliao.com/icvt-shd-20210626-d7d35cba30263352df53b0bd2dd3e567.mp4,我怀孕，然后有的三胎，我开始这个样子，看着家里又躲了个新成员，家里都是非常开心的。三月二十六号，今年的三月二十六号，没想到第二年就复发啊，我给爸爸。,7452b95b-b821-412c-b78f-2c37c1251c27_zh
38,VT00FUV8OGWT4E7,保时捷911 992 GT3 Cup官方宣传片,2021-06-25T15:33:06,https://video-nos.yiyouliao.com/icvt-hd-20210625-27e7b730d53d75f1262c7b18362b69d8.mp4,你啊,18caefe0-db65-4185-a02a-038a1c7f93f4_zh
39,VT01AEIZWS2E81W,日本又赠台100万剂疫苗 ，台当局忙感谢，网友：快200人死，还来?,2021-06-25T15:33:39,https://video-nos.yiyouliao.com/icvt-shd-20210626-33e7d141975d414583bca29843056726.mp4,啊,187ab35e-b573-43b7-a756-b2be5f0e6e22_zh
40,VT00M4TROFB6PHD,星车大曝光：沃尔沃XC60的轮胎新奇之处在哪里,2021-06-25T15:34:22,https://video-nos.yiyouliao.com/icvt-shd-20210625-12b1a09b9d4da96d74f0ccbb26da2430.mp4,啊，再来看一下重期改款的沃尔沃c六零的轮胎，它用的是一个贝耐力的pc肉的这么一个型号，规格是二三五五五二十九一个十九寸的这么一个轮圈，因为这个是一个运动版车型啊，所以它的这个轮圈看起来会更加的动感一些，相比于普通的豪华板，而且如果你跟二零二一款的那个运动型的矮。,69362c15-a2a2-456d-b668-bbb43f736d89_zh
41,VT01AC3KEP5YFSH,斯柯达柯迪亚克实拍！搭2.0T比途观L更具性价比,2021-06-25T15:40:08,https://video-nos.yiyouliao.com/icvtd-shd-20210625-f30676526845a7070bf5a792df315135.mp4,近日，海外媒体发布了一组斯柯大全新科迪亚克的实开图片，史开车型为车系中的二s运动版本，搭载了一海二十零汽双涡轮增压船油发动机，最大功率一百七十八千瓦，峰值扭矩五百牛米。目前，斯克塔克迪亚克在国内市场上的售价区间为十七百七九，是二十四点七九万元人民币，增端售价优惠幅度约为三万元。鉴于该车的丰富配置和相较同级对手托官两更低的售价，该车的性价比更为出色。,2d28f4ae-ad77-49cc-9e86-e90cf5661085_zh
42,VI00M7HAX7Q6NOJ,非常好听的歌《反正你已经不爱我》人美歌甜,2021-06-25T15:41:40,https://video-nos.yiyouliao.com/icvt-shd-20210626-d511cf3abbfbc7b2dc75b66e2c9fa04e.mp4,每一天有你说你已经不爱我，难道不怕什么措我对你那么的折磨，你对我如此的冷漠，少你已经默爱我，这到底说定为什我？其实我真的好难么，可是否又该怎么做的。,50a7af5a-7b1f-44ce-8e15-099369dbf196_zh
43,VI00MALCI3ALXEF,异人1：吕毛豆买粘土遇到异人，没想却被施了黑魔法，会发生什么,2021-06-25T15:44:31,https://video-nos.yiyouliao.com/icvt-shd-20210626-db7989eda16dc04ffa90fe569dbed1fd.mp4,有黄色的泥子，做一个香蕉白小卷，你已经来了呀，爹，我今天没带黏土，你那年土给我拐一点呗，想玩我的？那是不可能的。朋友啊，你边怎什么声音呀？我也听到了，好像地震一样，不对，地震的话肯定会晃晃的，应该是泡妞摔倒了，我觉得也是，会不会把地上都砸成一个大坑呀？你怎么这样说泡妞呢？肯定不止一个大坑，至少你能把墙面穿破呢。,433f6388-a5b6-4b5c-8429-59028e5c5d34_zh
44,VI00FX440JMWEXA,三好学生曾经激励一代青年，因失掉标准被叫停丨老梁观世界,2021-06-25T15:45:52,https://video-nos.yiyouliao.com/icvt-shd-20210626-278360c3b8829b93352efb11cd175aad.mp4,但是加分这个呢，最近这些年，你包括浙江今天提出取消评选省级上好学生，但二零零八年他就取消了省级上好学生高考加分，所以说这是三好学生，这些年来他这个历史验格。那么说三好学生，我们必须承认他在过去的历史阶段里边起到了很积极的作用，这种评价方法应该是没有错的，因为我认为人应该是有荣誉版，是一间比较好的，是选么？我没选过三号学生还是挺遗憾的，我刚过上我学得生，所以我到现在还是觉得这个荣誉还是有得。,9e65aeb5-18cb-4df4-a79a-5fe5c99d3d90_zh
45,VT01AHB4Y4Z4DXE,拜登政府“制裁”新疆光伏硅产品 将5家中企列入“实体清单”,2021-06-25T15:46:42,https://video-nos.yiyouliao.com/icvt-shd-20210626-3de6433772b800cc3d2352c16e3b3c7a.mp4,当地时间周三，美国商务部宣布将五家所谓强迫劳动的中国实体列入出口管制实体清单，而这五家企业都位于新疆。有知情人士透露，美国海关计划从当地时间周四起，禁止进口核胜规业擅善有限公司等中国企业开采的眼经集规。昨天的商务部例行发布会上，发言人要求美国立即纠正错误做法，所谓新疆强迫劳动问题完全违背事实，美方再次动用国家力量，以所谓人权名义行保护主义。,aab31c21-efd0-439f-9490-7da84cf8d3a7_zh
